,nb_code,area,population,lat,lon
41,10466,"Bronx, New York",68787,40.891039,-73.847226
42,M1B,"Rouge, Malvern",66108,43.8066863,-79.19435340000003
43,10463,"Bronx, New York",65576,40.880678,-73.90654
44,11213,"Brooklyn, New York",65440,40.671034000000006,-73.936357
45,10472,"Bronx, New York",64867,40.82965,-73.86936800000001
46,10032,"New York, New York",63842,40.839194,-73.94259100000001
47,11225,"Brooklyn, New York",63774,40.662236,-73.958951
48,10701,"Yonkers, New York",63715,40.94525,-73.88114499999999
49,10469,"Bronx, New York",63345,40.867849,-73.84514
50,11215,"Brooklyn, New York",63001,40.662688,-73.98674
51,11746,"Huntington Station, New York",62828,40.814268,-73.362276
52,11210,"Brooklyn, New York",62308,40.628049,-73.946278
